Thich Nhat Hanh|Walk as if you are kissing the Earth with your feet.
Thich Nhat Hanh|Feelings come and go like clouds in a windy sky. Conscious breathing is my anchor.
Pema Chödrön|The most fundamental aggression to ourselves, the most fundamental harm we can do to ourselves, is to remain ignorant by not having the courage and the respect to look at ourselves honestly and gently.
Amit Ray|If you want to conquer the anxiety of life, live in the moment, live in the breath.
Pema Chödrön|If someone comes along and shoots an arrow into your heart, it’s fruitless to stand there and yell at the person. It would be much better to turn your attention to the fact that there’s an arrow in your heart...
Thich Nhat Hanh|The present moment is filled with joy and happiness. If you are attentive, you will see it. (21)
Amit Ray|Looking at beauty in the world, is the first step of purifying the mind.
Jack Kornfield|In the end, just three things matter:. . How well we have lived. How well we have loved. How well we have learned to let go
Marcus Aurelius|Do every act of your life as though it were the very last act of your life.
Robin S. Sharma|Everything is created twice, first in the mind and then in reality.
Catherynne M. Valente|Do not ruin today with mourning tomorrow.
Mother Teresa|Be happy in the moment, that's enough. Each moment is all we need, not more.
Louis L&#39;Amour|Few of us ever live in the present. We are forever anticipating what is to come or remembering what has gone.
Marilynne Robinson|I am grateful for all those dark years, even though in retrospect they seem like a long, bitter prayer that was answered finally.
Charlotte Eriksson|I don’t need anyone else to distract me from myself anymore, . like I always thought I would.
Victoria Moran|In this moment, there is plenty of time. In this moment, you are precisely as you should be. In this moment, there is infinite possibility. (17)
Amit Ray|Mind is a flexible mirror, adjust it, to see a better world.
Marilynne Robinson|There are a thousand thousand reasons to live this life, everyone of them sufficient
Henry James|True happiness, we are told, consists in getting out of one's self; but the point is not only to get out - you must stay out; and to stay out you must have some absorbing errand.
Pema Chödrön|Without giving up hope—that there’s somewhere better to be, that there’s someone better to be—we will never relax with where we are or who we are.
Amit Ray|Breath is the finest gift of nature. Be grateful for this wonderful gift.
Allan Lokos|Do not speak about anyone who is not physically present.
Jalaluddin Rumi|Let go of your mind and then be mindful.. Close your ears and listen!
Amit Ray|Life is a dance. Mindfulness is witnessing that dance.
